indTarget,Funciona,target,targetMAYUS,oracion,significado1,palabras mal usadas,Contexto1,significado2,palabras mal usadas,Contexto2,Significado3,palabras mal usadas,Contexto3,,Prompts
0,,raya,RAYA,Daniel observó la raya fijamente durante varios segundos.,Animales,No encontrado,"El mar, vasto e inexplorado, es hogar de una amplia gama de vida marina. El estudio de la biología marina desentraña los misterios de las especies que habitan en sus profundidades, revelando la asombrosa diversidad y complejidad de los ecosistemas oceánicos.",Geometría,No encontrado,"Las líneas son elementos básicos en el diseño y la creatividad. Desde las rectas y curvas simples hasta las líneas complejas y abstractas, pueden transmitir una amplia gama de emociones y significados. ",Lingüística,No encontrado,"La tilde diacrítica es la que permite distinguir palabras que se escriben igual, pero que tienen significados distintos y presentan diferente pronunciación.",,"necesito un párrafo, que no tenga más de 50 palabras, sobre"
1,,llama,LLAMA,A lo lejos pudo ver la llama moviéndose suavemente.,Animales,lima,"La puna argentina, con su altiplano y clima inhóspito, alberga una rica biodiversidad y valiosos recursos naturales. Sin embargo, la explotación de estos recursos plantea desafíos ambientales y sociales en esta región única y frágil.",Física,No encontrado,"La combustión es una reacción química exotérmica en la que una sustancia reacciona con un oxidante para producir calor y otros productos químicos. La mayoría de las veces, el oxidante es el oxígeno del aire y la sustancia combustible es un hidrocarburo.",Educación,No encontrado,"La inflación es el aumento generalizado y sostenido de los precios existentes en el mercado durante un determinado período de tiempo. Cuando el nivel general de precios sube, con cada unidad de moneda se adquieren menos bienes y servicios.",,"necesito un párrafo descriptivo, que no tenga más de 50 palabras, sobre "
2,,salamandra,SALAMANDRA,Paula le tenía mucho aprecio a la salamandra que le habían regalado.,Animales,No encontrado,"Los pequeños anfibios son criaturas fascinantes que habitan en todo el mundo. A pesar de su pequeño tamaño, juegan un papel importante en el equilibrio ecológico y la biodiversidad.",Mobiliario,No encontrado,"La cabaña se erguía solitaria en la montaña, cubierta por un manto de nieve. El humo salía de la chimenea, prometiendo calidez y confort en aquel invierno implacable. Un refugio perfecto para los amantes del frío.",Juguete,cuenta,"LEGO, es una empresa danesa, cuyo producto más conocido son los bloques de construcción. También cuenta una línea de productos preescolares y una línea de juguetes de robótica, entre otros. Además presta su marca a la cadena de parques temáticos Legoland.",,"necesito un párrafo narrativo, que no tenga más de 50 palabras, sobre"
3,,muñeca,MUÑECA,Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,Cuerpo,No encontrado,"La anatomía es una de las ciencias fundamentales de la medicina. Con sus técnicas de disección y análisis, permite comprender la complejidad de los organismos y sistemas, y es esencial para el diagnóstico y tratamiento de enfermedades.",Juguete,No encontrado,"El niño abrió su regalo con emoción y encontró exactamente lo que había deseado para Navidad. Sus ojos se iluminaron con felicidad y su sonrisa se extendió de oreja a oreja, sabiendo que su sueño se había hecho realidad.",Música,No encontrado,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr.",,
4,,palma,PALMA,Enzo movió la palma muy rápido para evitar que hiciera ruido.,Cuerpo,No encontrado,La mano es una parte esencial de nuestro organismo. Nos permite interactuar con el mundo que nos rodea. Sus componentes trabajan juntos para proporcionar destreza y precisión en las tareas cotidianas.,Vegetales,No encontrado,La playa caribeña se presenta como un paraíso tropical con aguas cristalinas de tonos turquesa y arenas blancas como el azúcar. Los hermosos corales y una exuberante variedad de plantas completan el escenario de este paraíso tropical.,Política,No encontrado,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. ,,
5,,peso,PESO,Al llegar a destino notaron que el peso había bajado fuertemente.,Economía,No encontrado,"A pesar de los esfuerzos para estabilizar a nuestro país, la pandemia de COVID-19 ha agravado la situación y ha llevado a una caída en la actividad y un aumento del desempleo y la pobreza.",Física,No encontrado,"La microgravedad crea un ambiente de ingravidez donde los objetos flotan libremente, desafiando las leyes de la gravedad terrestre. Los astronautas experimentan una sensación única, moviéndose con gracia y libertad en un entorno que desafía nuestra comprensión de cómo funcionan las fuerzas en la Tierra.",Armamento,No encontrado,"El AK-47 es un fusil de asalto soviético. Fue el fusil oficial de la Unión Soviética en la década del 60. En diciembre de 2007, llegó a ser el arma de fuego de mayor producción de la historia, con cerca de 80 millones de unidades manufacturadas.",,
6,0,banco,BANCO,A Lara le gustaba ese banco porque le traía buenos recuerdos.,Economía,función,"El sistema financiero es un conjunto de instituciones, regulaciones y herramientas que permiten el intercambio de dinero y otros activos entre individuos, empresas y gobiernos. Su función es facilitar el flujo de capital.",Mobiliario,No encontrado,"Una plaza es un espacio público al aire libre destinado al ocio, la recreación y el encuentro social. Pueden tener diferentes diseños, como jardines, estatuas, fuentes, etc. Son lugares donde las personas pueden relajarse, hacer ejercicio, jugar y disfrutar de la naturaleza. También son utilizadas para eventos culturales y políticos.",Frutas,No encontrado,"Mientras observaba detenidamente, pude ver cómo esa persona sujetaba la manzana con delicadeza. Con cada mordisco, se podía apreciar su satisfacción en cada expresión facial y el sonido crujiente que llenaba el aire. Cada bocado era un placer, una danza de sabores en su boca.",,
7,,tarjeta,TARJETA,Miguel le dió la tarjeta en la mano a Elena.,Economía,No encontrado,"Los métodos de pago son las diversas opciones que se utilizan para realizar transacciones financieras. Existen varios tipos, y cada uno tiene sus ventajas y desventajas en términos de seguridad, rapidez, costos y comodidad. ",Festividades,No encontrado,"El cumpleaños es la celebración anual del día en que una persona nació. Tradicionalmente, se celebra con amigos y familiares, regalos, pastel y decoraciones festivas. Es una oportunidad para reflexionar sobre el año que pasó y para expresar buenos deseos para el futuro.",Construcción,No encontrado,"El cemento es un conglomerante formado a partir de una mezcla de caliza y arcilla calcinadas y posteriormente molidas, que tiene la propiedad de endurecerse después de ponerse en contacto con el agua. ",,
8,,granada,GRANADA,Al caer al suelo la granada se abrió y dejó caer lo que había en su interior.,Frutas,No encontrado,"Con ansias, probó ese jugoso y exótico producto. Sus sentidos se deleitaron con su sabor dulce y tropical. Una nueva experiencia gastronómica que lo transportó a tierras lejanas en cada bocado.",Armamento,No encontrado,"Las armas de guerra son diseñadas para causar daño y destrucción en conflictos militares. A pesar de que pueden ser utilizadas para proteger a un país, también pueden ser la causa de grandes tragedias y su uso debe ser cuidadosamente regulado.",Tecnología,No encontrado,"El televisor, más coloquialmente tele​ o TV, es un aparato electrónico destinado a la recepción y reproducción de señales de televisión. Usualmente consta de una pantalla y mandos o controles. ",,
9,,lima,LIMA,Ana se acordó de comprar la lima de camino a su casa.,Frutas,No encontrado,"Refrescantes y nutritivos, los jugos exprimidos son una deliciosa manera de obtener vitaminas y minerales esenciales. Sus beneficios para la salud incluyen hidratación, aporte de antioxidantes y fortalecimiento del sistema inmunológico.",Herramienta,No encontrado,"El carpintero, con su delantal lleno de aserrín, se esforzaba por completar su trabajo. Con martillo en mano y ojos enfocados en los detalles, no descansaría hasta que cada pieza encajara perfectamente en su lugar, orgulloso de su habilidad y dedicación.",Teatro,No encontrado,"Hamlet es una tragedia del dramaturgo inglés William Shakespeare.​ El año concreto en que fue escrita sigue aún en disputa, cuestión que se complica porque se han conservado a la época actual tres versiones tempranas de la misma.",,
