wordID,target,meaningID,answers
0,Raya,1,"[('Mantarraya', 72), ('Animal', 50), ('Pez', 47), ('Marino', 45), ('Mar', 30), ('Peligro', 8), ('Tiburón', 7), ('Negro', 2)]"
0,Raya,2,"[('Línea', 78), ('Recta', 53), ('Dibujo', 52), ('Lapiz', 51), ('Geométrica', 12), ('Curvo', 2), ('Palo', 1), ('Lado', 0)]"
1,Llama,1,"[('Animal', 55), ('Camélido', 43), ('Norte', 41), ('Mamífero', 27), ('Andino', 27), ('Cuadrupedo', 15), ('Pelos', 4), ('Doméstico', 1)]"
1,Llama,2,"[('Fuego', 83), ('Combustión', 55), ('Calor', 37), ('Mechero', 34), ('Incendio', 21), ('Parrilla', 13), ('Vela', 11), ('Cocinar', 10)]"
2,Salamandra,1,"[('Reptil', 72), ('Animal', 71), ('Lagartija', 55), ('Lagarto', 21), ('Iguana', 19), ('Anfibio', 19), ('Vertebrado', 18), ('Camaleón', 4)]"
2,Salamandra,2,"[('Calefacción', 81), ('Estufa', 72), ('Calor', 66), ('Llamas', 19), ('Hierro', 19), ('Madera', 12), ('Humo', 8), ('Carbon', 5)]"
3,Muñeca,1,"[('Mano', 73), ('Articulación', 69), ('Brazo', 49), ('Cuerpo', 36), ('Persona', 16), ('Pulsera', 12), ('Reloj', 3), ('Piel', 0)]"
3,Muñeca,2,"[('Juguete', 73), ('Infancia', 61), ('Niña', 35), ('Juego', 34), ('Entretenimiento', 34), ('Trapo', 10), ('Vestido', 6), ('Niño', 2)]"
4,Palma,1,"[('Mano', 65), ('Dedos', 46), ('Aplauso', 32), ('Falanges', 21), ('Piel', 13), ('Cuerpo', 10), ('Apretón', 6), ('Brazo', 5)]"
4,Palma,2,"[('Palmera', 83), ('Tropical', 68), ('Caribe', 34), ('Vegetal', 26), ('Verde', 15), ('Fruto', 14), ('Aceite', 14), ('Verdura', 1)]"
5,Peso,1,"[('Moneda', 67), ('Dinero', 62), ('Plata', 51), ('Billete', 27), ('Valor', 16), ('Economía', 16), ('Cambio', 6), ('Dólar', 1)]"
5,Peso,2,"[('Balanza', 57), ('Kilo', 55), ('Pesado', 47), ('Gramos', 30), ('Medida', 28), ('Masa', 22), ('Gravedad', 6), ('Newton', 1)]"
6,Banco,1,"[('Dinero', 46), ('Cajero', 39), ('Préstamo', 24), ('Crédito', 20), ('Cheque', 16), ('Pesos', 12), ('Dólar', 8), ('Débito', 6)]"
6,Banco,2,"[('Asiento', 77), ('Sentarse', 56), ('Silla', 55), ('Plaza', 35), ('Parque', 17), ('Escuela', 8), ('Escritorio', 8), ('Exteriores', 5)]"
7,Tarjeta,1,"[('Crédito', 70), ('Dinero', 53), ('Pago', 50), ('Débito', 24), ('Préstamo', 14), ('Pesos', 12), ('Dólar', 2), ('Acciones', 0)]"
7,Tarjeta,2,"[('Saludo', 44), ('Felicitación', 44), ('Carta', 41), ('Regalo', 39), ('Papel', 28), ('Invitación', 14), ('Información', 9), ('Dirigida', 6)]"
8,Granada,1,"[('Fruta', 69), ('Rojo', 43), ('Semillas', 39), ('Tropical', 38), ('Granadina', 29), ('Dulce', 24), ('Caribe', 5), ('Mango', 2)]"
8,Granada,2,"[('Guerra', 54), ('Armas', 53), ('Armamento', 41), ('Ataque', 31), ('Militar', 29), ('Destrucción', 28), ('Violencia', 24), ('Solados', 10)]"
9,Lima,1,"[('Cítrico', 57), ('Fruta', 40), ('Ácido', 37), ('Limón', 34), ('Caipirinha', 12), ('Tragos', 11), ('Limónero', 7), ('Mandarina', 0)]"
