,wordID,meaningID,contextID,combinationID,target,significado,oracion,Contexto
2,0,2,3,3200,raya,"[('línea', 78), ('recta', 53), ('dibujo', 52), ('lapiz', 51), ('geométrica', 12)]",Daniel observó la raya fijamente durante varios segundos.,"La tilde diacrítica es la que permite distinguir palabras que se escriben igual, pero que tienen significados distintos y presentan diferente pronunciación."
3,0,2,2,2200,raya,"[('línea', 78), ('recta', 53), ('dibujo', 52), ('lapiz', 51), ('geométrica', 12)]",Daniel observó la raya fijamente durante varios segundos.,"Las líneas son elementos básicos en el diseño y la creatividad. Desde las rectas y curvas simples hasta las líneas complejas y abstractas, pueden transmitir una amplia gama de emociones y significados. "
10,2,2,3,3202,salamandra,"[('calefacción', 81), ('estufa', 72), ('calor', 66), ('llamas', 19), ('hierro', 19)]",Paula le tenía mucho aprecio a la salamandra que le habían regalado.,"LEGO, es una empresa danesa, cuyo producto más conocido son los bloques de construcción. También cuenta una línea de productos preescolares y una línea de juguetes de robótica, entre otros. Además presta su marca a la cadena de parques temáticos Legoland."
11,2,2,2,2202,salamandra,"[('calefacción', 81), ('estufa', 72), ('calor', 66), ('llamas', 19), ('hierro', 19)]",Paula le tenía mucho aprecio a la salamandra que le habían regalado.,"La cabaña se erguía solitaria en la montaña, cubierta por un manto de nieve. El humo salía de la chimenea, prometiendo calidez y confort en aquel invierno implacable. Un refugio perfecto para los amantes del frío."
12,3,1,3,3103,muñeca,"[('mano', 73), ('articulación', 69), ('brazo', 49), ('cuerpo', 36), ('persona', 16)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr."
13,3,1,1,1103,muñeca,"[('mano', 73), ('articulación', 69), ('brazo', 49), ('cuerpo', 36), ('persona', 16)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"La anatomía es una de las ciencias fundamentales de la medicina. Con sus técnicas de disección y análisis, permite comprender la complejidad de los organismos y sistemas, y es esencial para el diagnóstico y tratamiento de enfermedades."
14,3,2,3,3203,muñeca,"[('juguete', 73), ('infancia', 61), ('niña', 35), ('juego', 34), ('entretenimiento', 34)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr."
15,3,2,2,2203,muñeca,"[('juguete', 73), ('infancia', 61), ('niña', 35), ('juego', 34), ('entretenimiento', 34)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"El niño abrió su regalo con emoción y encontró exactamente lo que había deseado para Navidad. Sus ojos se iluminaron con felicidad y su sonrisa se extendió de oreja a oreja, sabiendo que su sueño se había hecho realidad."
16,4,1,3,3104,palma,"[('mano', 65), ('dedos', 46), ('aplauso', 32), ('falanges', 21), ('piel', 13)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. 
17,4,1,1,1104,palma,"[('mano', 65), ('dedos', 46), ('aplauso', 32), ('falanges', 21), ('piel', 13)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,La mano es una parte esencial de nuestro organismo. Nos permite interactuar con el mundo que nos rodea. Sus componentes trabajan juntos para proporcionar destreza y precisión en las tareas cotidianas.
