wordID,target,meaningID,answers
0,Raya,1,"[('Mantarraya', 69), ('Marino', 47), ('Animal', 45), ('Pez', 40), ('Mar', 28), ('Peligro', 7), ('Tiburón', 5), ('Negro', 2)]"
0,Raya,2,"[('Línea', 60), ('Lapiz', 41), ('Dibujo', 41), ('Recta', 40), ('Geométrica', 8), ('Palo', 1), ('Curvo', 1), ('Lado', 0)]"
1,Llama,1,"[('Animal', 44), ('Norte', 32), ('Camélido', 31), ('Andino', 23), ('Mamífero', 19), ('Cuadrupedo', 14), ('Pelos', 4), ('Doméstico', 1)]"
1,Llama,2,"[('Fuego', 66), ('Combustión', 43), ('Calor', 31), ('Mechero', 23), ('Incendio', 19), ('Parrilla', 11), ('Vela', 9), ('Cocinar', 8)]"
2,Salamandra,1,"[('Reptil', 56), ('Animal', 53), ('Lagartija', 48), ('Lagarto', 16), ('Iguana', 16), ('Anfibio', 16), ('Vertebrado', 13), ('Camaleón', 4)]"
2,Salamandra,2,"[('Calefacción', 69), ('Estufa', 64), ('Calor', 59), ('Llamas', 16), ('Hierro', 11), ('Madera', 10), ('Humo', 7), ('Carbon', 4)]"
3,Muñeca,1,"[('Mano', 55), ('Articulación', 50), ('Brazo', 37), ('Cuerpo', 31), ('Pulsera', 11), ('Persona', 11), ('Reloj', 3), ('Piel', 0)]"
3,Muñeca,2,"[('Juguete', 58), ('Infancia', 47), ('Juego', 29), ('Niña', 27), ('Entretenimiento', 26), ('Trapo', 11), ('Vestido', 6), ('Niño', 3)]"
4,Palma,1,"[('Mano', 54), ('Dedos', 38), ('Aplauso', 27), ('Falanges', 15), ('Piel', 11), ('Cuerpo', 10), ('Apretón', 6), ('Brazo', 4)]"
4,Palma,2,"[('Palmera', 65), ('Tropical', 58), ('Caribe', 28), ('Vegetal', 15), ('Aceite', 14), ('Fruto', 12), ('Verde', 11), ('Verdura', 1)]"
5,Peso,1,"[('Moneda', 54), ('Dinero', 52), ('Plata', 43), ('Billete', 24), ('Economía', 16), ('Valor', 12), ('Cambio', 5), ('Dólar', 1)]"
5,Peso,2,"[('Balanza', 49), ('Kilo', 48), ('Pesado', 39), ('Gramos', 26), ('Medida', 24), ('Masa', 20), ('Gravedad', 6), ('Newton', 1)]"
6,Banco,1,"[('Cajero', 34), ('Dinero', 33), ('Préstamo', 19), ('Crédito', 15), ('Cheque', 14), ('Pesos', 8), ('Dólar', 5), ('Débito', 4)]"
6,Banco,2,"[('Asiento', 62), ('Sentarse', 49), ('Silla', 46), ('Plaza', 24), ('Parque', 12), ('Escritorio', 9), ('Escuela', 8), ('Exteriores', 3)]"
7,Tarjeta,1,"[('Crédito', 49), ('Dinero', 41), ('Pago', 36), ('Débito', 18), ('Pesos', 10), ('Préstamo', 9), ('Dólar', 2), ('Acciones', 0)]"
7,Tarjeta,2,"[('Carta', 37), ('Saludo', 36), ('Felicitación', 34), ('Regalo', 31), ('Papel', 27), ('Invitación', 12), ('Información', 10), ('Dirigida', 5)]"
8,Granada,1,"[('Fruta', 53), ('Rojo', 33), ('Semillas', 30), ('Tropical', 28), ('Dulce', 20), ('Granadina', 19), ('Mango', 3), ('Caribe', 3)]"
8,Granada,2,"[('Guerra', 45), ('Armas', 41), ('Armamento', 29), ('Ataque', 26), ('Destrucción', 23), ('Violencia', 18), ('Militar', 18), ('Solados', 10)]"
9,Lima,1,"[('Cítrico', 46), ('Fruta', 31), ('Ácido', 30), ('Limón', 27), ('Caipirinha', 11), ('Tragos', 8), ('Limónero', 7), ('Mandarina', 2)]"
9,Lima,2,"[('Herramienta', 71), ('Limar', 65), ('Lija', 40), ('Metal', 37), ('Taller', 22), ('Corte', 3), ('Técnico', 1), ('Mecanico', 1)]"
10,Mango,1,"[('Fruta', 70), ('Tropical', 62), ('Jugoso', 30), ('Pulpa', 26), ('Caribe', 19), ('Árbol', 5), ('Semillas', 3), ('Cáscara', 1)]"
10,Mango,2,"[('Manija', 56), ('Sartén', 44), ('Herramientas', 37), ('Madera', 35), ('Martillo', 22), ('Hacha', 13), ('Taller', 9), ('Lima', 0)]"
11,Copa,1,"[('Trofeo', 38), ('Premio', 30), ('Campeón', 30), ('Triunfo', 26), ('Ganador', 13), ('Torneo', 12), ('Campeonato', 7), ('Oro', 6)]"
11,Copa,2,"[('Bebida', 50), ('Vaso', 49), ('Cristal', 46), ('Vino', 24), ('Fiesta', 19), ('Champagne', 10), ('Borracho', 4), ('Alcohólico', 2)]"
12,Arco,1,"[('Arquero', 35), ('Gol', 28), ('Fútbol', 28), ('Deporte', 23), ('Portería', 21), ('Red', 11), ('Meta', 4), ('Hockey', 3)]"
12,Arco,2,"[('Construcción', 47), ('Arquitectura', 45), ('Abertura', 44), ('Curva', 32), ('Triunfo', 23), ('Puerta', 15), ('Abierto', 12), ('Pared', 7)]"
13,Penal,1,"[('Fútbol', 68), ('Gol', 60), ('Deporte', 54), ('Punto', 21), ('Corner', 9), ('Barrera', 4), ('Hockey', 0), ('Handbol', 0)]"
13,Penal,2,"[('Cárcel', 46), ('Prisión', 41), ('Condena', 31), ('Delito', 23), ('Juicio', 16), ('Abogados', 14), ('Criminal', 13), ('Crimen', 11)]"
14,Pico,1,"[('Cima', 49), ('Montaña', 47), ('Cumbre', 45), ('Altura', 36), ('Monte', 7), ('Rocas', 3), ('Piedras', 3), ('Naturaleza', 2)]"
14,Pico,2,"[('Herramientas', 68), ('Picar', 63), ('Golpear', 51), ('Martillo', 24), ('Hacha', 9), ('Pinza', 6), ('Taller', 4), ('Lima', 3)]"
15,Cabo,1,"[('Costa', 32), ('Mar', 25), ('Bahía', 21), ('Playa', 18), ('Golfo', 13), ('Península', 12), ('Faro', 6), ('Acantilado', 5)]"
15,Cabo,2,"[('Militar', 77), ('Soldado', 63), ('Tropa', 43), ('Infantería', 28), ('Sargento', 17), ('Coronel', 15), ('Teniente', 12), ('Comandante', 9)]"
16,Sierra,1,"[('Monte', 35), ('Montaña', 33), ('Cumbre', 28), ('Naturaleza', 27), ('Rocas', 20), ('Cordillera', 14), ('Cima', 6), ('Nevada', 2)]"
16,Sierra,2,"[('Herramienta', 70), ('Serrucho', 60), ('Taller', 33), ('Metal', 23), ('Madera', 21), ('Lija', 3), ('Latón', 2), ('Mecanico', 1)]"
