,wordID,target,oracion,meaningID,contextID,Contexto,combinationID,significado
0,0,raya,Daniel observó la raya fijamente durante varios segundos.,1,3,"La tilde diacrítica es la que permite distinguir palabras que se escriben igual, pero que tienen significados distintos y presentan diferente pronunciación.",3100,"[('mantarraya', 70), ('animal', 49), ('pez', 46), ('marino', 46), ('mar', 28), ('tiburón', 7), ('peligro', 7), ('negro', 2)]"
1,0,raya,Daniel observó la raya fijamente durante varios segundos.,1,1,"El mar, vasto e inexplorado, es hogar de una amplia gama de vida marina. El estudio de la biología marina desentraña los misterios de las especies que habitan en sus profundidades, revelando la asombrosa diversidad y complejidad de los ecosistemas oceánicos.",1100,"[('mantarraya', 70), ('animal', 49), ('pez', 46), ('marino', 46), ('mar', 28), ('tiburón', 7), ('peligro', 7), ('negro', 2)]"
2,0,raya,Daniel observó la raya fijamente durante varios segundos.,2,3,"La tilde diacrítica es la que permite distinguir palabras que se escriben igual, pero que tienen significados distintos y presentan diferente pronunciación.",3200,"[('línea', 69), ('recta', 48), ('lapiz', 43), ('dibujo', 43), ('geométrica', 10), ('curvo', 2), ('palo', 1), ('lado', 0)]"
3,0,raya,Daniel observó la raya fijamente durante varios segundos.,2,2,"Las líneas son elementos básicos en el diseño y la creatividad. Desde las rectas y curvas simples hasta las líneas complejas y abstractas, pueden transmitir una amplia gama de emociones y significados. ",2200,"[('línea', 69), ('recta', 48), ('lapiz', 43), ('dibujo', 43), ('geométrica', 10), ('curvo', 2), ('palo', 1), ('lado', 0)]"
4,1,llama,A lo lejos pudo ver la llama moviéndose suavemente.,1,3,"La inflación es el aumento generalizado y sostenido de los precios existentes en el mercado durante un determinado período de tiempo. Cuando el nivel general de precios sube, con cada unidad de moneda se adquieren menos bienes y servicios.",3101,"[('animal', 50), ('camélido', 41), ('norte', 36), ('mamífero', 27), ('andino', 26), ('cuadrupedo', 14), ('pelos', 3), ('doméstico', 1)]"
5,1,llama,A lo lejos pudo ver la llama moviéndose suavemente.,1,1,"La puna argentina, con su altiplano y clima inhóspito, alberga una rica biodiversidad y valiosos recursos naturales. Sin embargo, la explotación de estos recursos plantea desafíos ambientales y sociales en esta región única y frágil.",1101,"[('animal', 50), ('camélido', 41), ('norte', 36), ('mamífero', 27), ('andino', 26), ('cuadrupedo', 14), ('pelos', 3), ('doméstico', 1)]"
6,1,llama,A lo lejos pudo ver la llama moviéndose suavemente.,2,3,"La inflación es el aumento generalizado y sostenido de los precios existentes en el mercado durante un determinado período de tiempo. Cuando el nivel general de precios sube, con cada unidad de moneda se adquieren menos bienes y servicios.",3201,"[('fuego', 81), ('combustión', 50), ('calor', 35), ('mechero', 32), ('incendio', 22), ('parrilla', 13), ('vela', 11), ('cocinar', 11)]"
7,1,llama,A lo lejos pudo ver la llama moviéndose suavemente.,2,2,"La combustión es una reacción química exotérmica en la que una sustancia reacciona con un oxidante para producir calor y otros productos químicos. La mayoría de las veces, el oxidante es el oxígeno del aire y la sustancia combustible es un hidrocarburo.",2201,"[('fuego', 81), ('combustión', 50), ('calor', 35), ('mechero', 32), ('incendio', 22), ('parrilla', 13), ('vela', 11), ('cocinar', 11)]"
8,2,salamandra,Paula le tenía mucho aprecio a la salamandra que le habían regalado.,1,3,"LEGO, es una empresa danesa, cuyo producto más conocido son los bloques de construcción. También cuenta una línea de productos preescolares y una línea de juguetes de robótica, entre otros. Además presta su marca a la cadena de parques temáticos Legoland.",3102,"[('reptil', 65), ('animal', 62), ('lagartija', 52), ('lagarto', 19), ('iguana', 17), ('anfibio', 17), ('vertebrado', 16), ('camaleón', 4)]"
9,2,salamandra,Paula le tenía mucho aprecio a la salamandra que le habían regalado.,1,1,"Los pequeños anfibios son criaturas fascinantes que habitan en todo el mundo. A pesar de su pequeño tamaño, juegan un papel importante en el equilibrio ecológico y la biodiversidad.",1102,"[('reptil', 65), ('animal', 62), ('lagartija', 52), ('lagarto', 19), ('iguana', 17), ('anfibio', 17), ('vertebrado', 16), ('camaleón', 4)]"
10,2,salamandra,Paula le tenía mucho aprecio a la salamandra que le habían regalado.,2,3,"LEGO, es una empresa danesa, cuyo producto más conocido son los bloques de construcción. También cuenta una línea de productos preescolares y una línea de juguetes de robótica, entre otros. Además presta su marca a la cadena de parques temáticos Legoland.",3202,"[('calefacción', 81), ('estufa', 74), ('calor', 68), ('llamas', 18), ('hierro', 18), ('madera', 13), ('humo', 8), ('carbon', 5)]"
11,2,salamandra,Paula le tenía mucho aprecio a la salamandra que le habían regalado.,2,2,"La cabaña se erguía solitaria en la montaña, cubierta por un manto de nieve. El humo salía de la chimenea, prometiendo calidez y confort en aquel invierno implacable. Un refugio perfecto para los amantes del frío.",2202,"[('calefacción', 81), ('estufa', 74), ('calor', 68), ('llamas', 18), ('hierro', 18), ('madera', 13), ('humo', 8), ('carbon', 5)]"
12,3,muñeca,Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,1,3,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr.",3103,"[('mano', 68), ('articulación', 62), ('brazo', 46), ('cuerpo', 34), ('pulsera', 12), ('persona', 12), ('reloj', 3), ('piel', 0)]"
13,3,muñeca,Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,1,1,"La anatomía es una de las ciencias fundamentales de la medicina. Con sus técnicas de disección y análisis, permite comprender la complejidad de los organismos y sistemas, y es esencial para el diagnóstico y tratamiento de enfermedades.",1103,"[('mano', 68), ('articulación', 62), ('brazo', 46), ('cuerpo', 34), ('pulsera', 12), ('persona', 12), ('reloj', 3), ('piel', 0)]"
14,3,muñeca,Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,2,3,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr.",3203,"[('juguete', 68), ('infancia', 57), ('juego', 33), ('entretenimiento', 31), ('niña', 30), ('trapo', 10), ('vestido', 6), ('niño', 2)]"
15,3,muñeca,Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,2,2,"El niño abrió su regalo con emoción y encontró exactamente lo que había deseado para Navidad. Sus ojos se iluminaron con felicidad y su sonrisa se extendió de oreja a oreja, sabiendo que su sueño se había hecho realidad.",2203,"[('juguete', 68), ('infancia', 57), ('juego', 33), ('entretenimiento', 31), ('niña', 30), ('trapo', 10), ('vestido', 6), ('niño', 2)]"
16,4,palma,Enzo movió la palma muy rápido para evitar que hiciera ruido.,1,3,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. ,3104,"[('mano', 63), ('dedos', 46), ('aplauso', 31), ('falanges', 19), ('piel', 13), ('cuerpo', 11), ('apretón', 5), ('brazo', 4)]"
17,4,palma,Enzo movió la palma muy rápido para evitar que hiciera ruido.,1,1,La mano es una parte esencial de nuestro organismo. Nos permite interactuar con el mundo que nos rodea. Sus componentes trabajan juntos para proporcionar destreza y precisión en las tareas cotidianas.,1104,"[('mano', 63), ('dedos', 46), ('aplauso', 31), ('falanges', 19), ('piel', 13), ('cuerpo', 11), ('apretón', 5), ('brazo', 4)]"
18,4,palma,Enzo movió la palma muy rápido para evitar que hiciera ruido.,2,3,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. ,3204,"[('palmera', 78), ('tropical', 65), ('caribe', 34), ('vegetal', 22), ('aceite', 14), ('verde', 13), ('fruto', 13), ('verdura', 1)]"
19,4,palma,Enzo movió la palma muy rápido para evitar que hiciera ruido.,2,2,La playa caribeña se presenta como un paraíso tropical con aguas cristalinas de tonos turquesa y arenas blancas como el azúcar. Los hermosos corales y una exuberante variedad de plantas completan el escenario de este paraíso tropical.,2204,"[('palmera', 78), ('tropical', 65), ('caribe', 34), ('vegetal', 22), ('aceite', 14), ('verde', 13), ('fruto', 13), ('verdura', 1)]"
