wordID,target,meaningID,answers
0,Raya,1,"[('Mantarraya', 70), ('Animal', 49), ('Pez', 46), ('Marino', 46), ('Mar', 28), ('Tiburón', 7), ('Peligro', 7), ('Negro', 2)]"
0,Raya,2,"[('Línea', 69), ('Recta', 48), ('Lapiz', 43), ('Dibujo', 43), ('Geométrica', 10), ('Curvo', 2), ('Palo', 1), ('Lado', 0)]"
1,Llama,1,"[('Animal', 50), ('Camélido', 41), ('Norte', 36), ('Mamífero', 27), ('Andino', 26), ('Cuadrupedo', 14), ('Pelos', 3), ('Doméstico', 1)]"
1,Llama,2,"[('Fuego', 81), ('Combustión', 50), ('Calor', 35), ('Mechero', 32), ('Incendio', 22), ('Parrilla', 13), ('Vela', 11), ('Cocinar', 11)]"
2,Salamandra,1,"[('Reptil', 65), ('Animal', 62), ('Lagartija', 52), ('Lagarto', 19), ('Iguana', 17), ('Anfibio', 17), ('Vertebrado', 16), ('Camaleón', 4)]"
2,Salamandra,2,"[('Calefacción', 81), ('Estufa', 74), ('Calor', 68), ('Llamas', 18), ('Hierro', 18), ('Madera', 13), ('Humo', 8), ('Carbon', 5)]"
3,Muñeca,1,"[('Mano', 68), ('Articulación', 62), ('Brazo', 46), ('Cuerpo', 34), ('Pulsera', 12), ('Persona', 12), ('Reloj', 3), ('Piel', 0)]"
3,Muñeca,2,"[('Juguete', 68), ('Infancia', 57), ('Juego', 33), ('Entretenimiento', 31), ('Niña', 30), ('Trapo', 10), ('Vestido', 6), ('Niño', 2)]"
4,Palma,1,"[('Mano', 63), ('Dedos', 46), ('Aplauso', 31), ('Falanges', 19), ('Piel', 13), ('Cuerpo', 11), ('Apretón', 5), ('Brazo', 4)]"
4,Palma,2,"[('Palmera', 78), ('Tropical', 65), ('Caribe', 34), ('Vegetal', 22), ('Aceite', 14), ('Verde', 13), ('Fruto', 13), ('Verdura', 1)]"
5,Peso,1,"[('Moneda', 67), ('Dinero', 62), ('Plata', 49), ('Billete', 27), ('Economía', 18), ('Valor', 15), ('Cambio', 7), ('Dólar', 1)]"
5,Peso,2,"[('Balanza', 54), ('Kilo', 52), ('Pesado', 45), ('Gramos', 29), ('Medida', 28), ('Masa', 20), ('Gravedad', 5), ('Newton', 1)]"
6,Banco,1,"[('Dinero', 43), ('Cajero', 37), ('Préstamo', 22), ('Crédito', 19), ('Cheque', 16), ('Pesos', 10), ('Dólar', 6), ('Débito', 6)]"
6,Banco,2,"[('Asiento', 75), ('Silla', 55), ('Sentarse', 55), ('Plaza', 29), ('Parque', 15), ('Escritorio', 9), ('Escuela', 7), ('Exteriores', 4)]"
7,Tarjeta,1,"[('Crédito', 61), ('Dinero', 49), ('Pago', 46), ('Débito', 20), ('Pesos', 12), ('Préstamo', 11), ('Dólar', 2), ('Acciones', 0)]"
7,Tarjeta,2,"[('Saludo', 40), ('Carta', 40), ('Felicitación', 37), ('Regalo', 33), ('Papel', 29), ('Invitación', 13), ('Información', 9), ('Dirigida', 6)]"
8,Granada,1,"[('Fruta', 64), ('Rojo', 38), ('Semillas', 35), ('Tropical', 34), ('Granadina', 26), ('Dulce', 22), ('Caribe', 4), ('Mango', 2)]"
8,Granada,2,"[('Guerra', 52), ('Armas', 48), ('Armamento', 38), ('Ataque', 28), ('Militar', 27), ('Destrucción', 26), ('Violencia', 20), ('Solados', 10)]"
9,Lima,1,"[('Cítrico', 54), ('Fruta', 39), ('Ácido', 35), ('Limón', 30), ('Caipirinha', 13), ('Tragos', 11), ('Limónero', 6), ('Mandarina', 1)]"
9,Lima,2,"[('Herramienta', 81), ('Limar', 73), ('Lija', 48), ('Metal', 41), ('Taller', 23), ('Técnico', 3), ('Corte', 3), ('Mecanico', 1)]"
10,Mango,1,"[('Fruta', 80), ('Tropical', 70), ('Jugoso', 36), ('Pulpa', 27), ('Caribe', 22), ('Árbol', 6), ('Semillas', 3), ('Cáscara', 2)]"
10,Mango,2,"[('Manija', 62), ('Sartén', 50), ('Herramientas', 43), ('Madera', 39), ('Martillo', 28), ('Hacha', 16), ('Taller', 8), ('Lima', 0)]"
