,wordID,meaningID,contextID,combinationID,target,significado,oracion,Contexto
0,0,1,3,3100,raya,"[('animales', 1)]",Daniel observó la raya fijamente durante varios segundos.,"La tilde diacrítica es la que permite distinguir palabras que se escriben igual, pero que tienen significados distintos y presentan diferente pronunciación."
1,0,1,1,1100,raya,"[('animales', 1)]",Daniel observó la raya fijamente durante varios segundos.,"El mar, vasto e inexplorado, es hogar de una amplia gama de vida marina. El estudio de la biología marina desentraña los misterios de las especies que habitan en sus profundidades, revelando la asombrosa diversidad y complejidad de los ecosistemas oceánicos."
2,0,2,3,3200,raya,"[('geometría', 1)]",Daniel observó la raya fijamente durante varios segundos.,"La tilde diacrítica es la que permite distinguir palabras que se escriben igual, pero que tienen significados distintos y presentan diferente pronunciación."
3,0,2,2,2200,raya,"[('geometría', 1)]",Daniel observó la raya fijamente durante varios segundos.,"Las líneas son elementos básicos en el diseño y la creatividad. Desde las rectas y curvas simples hasta las líneas complejas y abstractas, pueden transmitir una amplia gama de emociones y significados. "
4,1,1,3,3101,llama,"[('animales', 1)]",A lo lejos pudo ver la llama moviéndose suavemente.,"La inflación es el aumento generalizado y sostenido de los precios existentes en el mercado durante un determinado período de tiempo. Cuando el nivel general de precios sube, con cada unidad de moneda se adquieren menos bienes y servicios."
5,1,1,1,1101,llama,"[('animales', 1)]",A lo lejos pudo ver la llama moviéndose suavemente.,"La puna argentina, con su altiplano y clima inhóspito, alberga una rica biodiversidad y valiosos recursos naturales. Sin embargo, la explotación de estos recursos plantea desafíos ambientales y sociales en esta región única y frágil."
6,1,2,3,3201,llama,"[('física', 1)]",A lo lejos pudo ver la llama moviéndose suavemente.,"La inflación es el aumento generalizado y sostenido de los precios existentes en el mercado durante un determinado período de tiempo. Cuando el nivel general de precios sube, con cada unidad de moneda se adquieren menos bienes y servicios."
7,1,2,2,2201,llama,"[('física', 1)]",A lo lejos pudo ver la llama moviéndose suavemente.,"La combustión es una reacción química exotérmica en la que una sustancia reacciona con un oxidante para producir calor y otros productos químicos. La mayoría de las veces, el oxidante es el oxígeno del aire y la sustancia combustible es un hidrocarburo."
8,2,1,3,3102,salamandra,"[('animales', 1)]",Paula le tenía mucho aprecio a la salamandra que le habían regalado.,"LEGO, es una empresa danesa, cuyo producto más conocido son los bloques de construcción. También cuenta una línea de productos preescolares y una línea de juguetes de robótica, entre otros. Además presta su marca a la cadena de parques temáticos Legoland."
9,2,1,1,1102,salamandra,"[('animales', 1)]",Paula le tenía mucho aprecio a la salamandra que le habían regalado.,"Los pequeños anfibios son criaturas fascinantes que habitan en todo el mundo. A pesar de su pequeño tamaño, juegan un papel importante en el equilibrio ecológico y la biodiversidad."
10,2,2,3,3202,salamandra,"[('mobiliario', 1)]",Paula le tenía mucho aprecio a la salamandra que le habían regalado.,"LEGO, es una empresa danesa, cuyo producto más conocido son los bloques de construcción. También cuenta una línea de productos preescolares y una línea de juguetes de robótica, entre otros. Además presta su marca a la cadena de parques temáticos Legoland."
11,2,2,2,2202,salamandra,"[('mobiliario', 1)]",Paula le tenía mucho aprecio a la salamandra que le habían regalado.,"La cabaña se erguía solitaria en la montaña, cubierta por un manto de nieve. El humo salía de la chimenea, prometiendo calidez y confort en aquel invierno implacable. Un refugio perfecto para los amantes del frío."
12,3,1,3,3103,muñeca,"[('cuerpo', 1)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr."
13,3,1,1,1103,muñeca,"[('cuerpo', 1)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"La anatomía es una de las ciencias fundamentales de la medicina. Con sus técnicas de disección y análisis, permite comprender la complejidad de los organismos y sistemas, y es esencial para el diagnóstico y tratamiento de enfermedades."
14,3,2,3,3203,muñeca,"[('juguete', 1)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"Los Beatles, fue una banda de rock británica formada en Liverpool durante los años 1960, estando integrada desde 1962 a su separación en 1970 por John Lennon, Paul McCartney, George Harrison y Ringo Starr."
15,3,2,2,2203,muñeca,"[('juguete', 1)]",Carla estaba agarrando su muñeca fuertemente cuando la llamaron.,"El niño abrió su regalo con emoción y encontró exactamente lo que había deseado para Navidad. Sus ojos se iluminaron con felicidad y su sonrisa se extendió de oreja a oreja, sabiendo que su sueño se había hecho realidad."
16,4,1,3,3104,palma,"[('cuerpo', 1)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. 
17,4,1,1,1104,palma,"[('cuerpo', 1)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,La mano es una parte esencial de nuestro organismo. Nos permite interactuar con el mundo que nos rodea. Sus componentes trabajan juntos para proporcionar destreza y precisión en las tareas cotidianas.
18,4,2,3,3204,palma,"[('vegetales', 1)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. 
19,4,2,2,2204,palma,"[('vegetales', 1)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,La playa caribeña se presenta como un paraíso tropical con aguas cristalinas de tonos turquesa y arenas blancas como el azúcar. Los hermosos corales y una exuberante variedad de plantas completan el escenario de este paraíso tropical.
20,5,1,3,3105,peso,"[('economía', 1)]",Al llegar a destino notaron que el peso había bajado fuertemente.,"El AK-47 es un fusil de asalto soviético. Fue el fusil oficial de la Unión Soviética en la década del 60. En diciembre de 2007, llegó a ser el arma de fuego de mayor producción de la historia, con cerca de 80 millones de unidades manufacturadas."
21,5,1,1,1105,peso,"[('economía', 1)]",Al llegar a destino notaron que el peso había bajado fuertemente.,"A pesar de los esfuerzos para estabilizar a nuestro país, la pandemia de COVID-19 ha agravado la situación y ha llevado a una caída en la actividad y un aumento del desempleo y la pobreza."
22,5,2,3,3205,peso,"[('física', 1)]",Al llegar a destino notaron que el peso había bajado fuertemente.,"El AK-47 es un fusil de asalto soviético. Fue el fusil oficial de la Unión Soviética en la década del 60. En diciembre de 2007, llegó a ser el arma de fuego de mayor producción de la historia, con cerca de 80 millones de unidades manufacturadas."
